global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
125,10.204339,290.670685,16.261198,389.078705
126,9.773449,277.184235,15.256063,344.454468
127,9.030086,258.274017,13.482356,304.633331
128,9.426194,266.669830,12.912758,294.640839
129,8.918892,251.295700,13.500152,312.799164
130,9.088916,268.467194,13.922039,335.627716
131,9.763628,305.441589,14.293185,358.111420
132,10.278197,333.201630,14.461141,376.784760
133,10.841148,363.148041,14.368958,388.522217
134,11.383546,391.917480,15.573452,437.395599
135,11.342183,388.530975,16.172955,441.675507
136,11.740546,396.707001,16.472837,464.282440
137,11.736603,393.237579,15.960182,455.097137
138,11.807828,387.075592,15.516334,434.822906
139,12.103257,398.720856,15.903061,429.707764
140,11.515037,390.428436,16.767454,464.741791
141,11.605693,389.656097,17.077869,480.152740
142,11.840340,393.867188,17.805574,510.196686
143,12.072103,396.335205,17.398281,486.137482
144,11.895101,393.029694,17.272009,491.041138
145,11.785466,397.983856,17.021482,488.578857
146,12.119630,406.358551,18.163427,512.407410
147,11.881183,405.091217,19.281729,567.475647
148,11.596408,392.548187,18.839155,560.032776
149,12.184747,403.630707,18.547689,553.283630
150,11.782722,387.946930,18.228760,536.680847
151,11.860626,383.707428,16.609274,481.857788
152,11.497520,368.180878,15.072131,432.947601
153,11.376676,387.493011,14.974098,435.404907
154,11.166695,378.777466,14.732651,403.282013
155,11.764030,413.677002,14.241038,397.941498
156,11.691669,412.286865,15.823085,450.119507
157,11.842540,409.567902,17.290466,522.868164
158,11.418841,396.174835,17.554571,526.406494
159,11.365195,389.062408,16.920433,462.182526
160,11.666881,406.430084,16.983595,450.038330
161,12.455922,424.057373,17.267742,475.789795
162,11.824319,417.576324,16.385612,450.375397
163,12.480526,429.148560,18.055000,495.716156
164,12.348511,446.120972,18.804613,510.580963
165,12.970783,455.247070,17.781897,507.795990
166,12.401955,426.835114,17.872995,500.147217
167,12.651436,431.118561,17.688112,489.374786
