epoch,lr-AdamW,step,test/mae,test/mse,train/loss_epoch,train/loss_step,val/loss
,0.0005,0,,,,,
0,,9,,,,1.1763402223587036,
0,,19,,,,1.0401368141174316,
0,,29,,,,0.9148817658424377,
0,,39,,,,0.8668691515922546,
0,,49,,,,0.8051573634147644,
0,,59,,,,0.7619724273681641,
0,,69,,,,0.7612741589546204,
0,,79,,,,0.7651360034942627,
0,,89,,,,0.747833788394928,
0,,99,,,,0.6708564162254333,
0,,109,,,,0.6819987893104553,
0,,119,,,,0.7315447926521301,
0,,129,,,,0.6790624260902405,
0,,139,,,,0.66876220703125,
0,,149,,,,0.7444520592689514,
0,,159,,,,0.6843810081481934,
0,,169,,,,0.6521062254905701,
0,,179,,,,0.6432957649230957,
0,,189,,,,0.6911962628364563,
0,,199,,,,0.6412353515625,
0,,209,,,,0.7017207145690918,
0,,219,,,,0.6665013432502747,
0,,229,,,,0.6846831440925598,
0,,239,,,,0.6353234052658081,
0,,249,,,,0.679060161113739,
0,,259,,,,0.6915319561958313,
0,,269,,,,0.7183049321174622,
0,,279,,,,0.5593602657318115,
0,,289,,,,0.6449512839317322,
0,,299,,,,0.6141341924667358,
0,,309,,,,0.6582180857658386,
0,,319,,,,0.676058292388916,
0,,329,,,,0.6800344586372375,
0,,339,,,,0.645667314529419,
0,,349,,,,0.6770284175872803,
0,,359,,,,0.6004005670547485,
0,,360,,,,,0.5641477108001709
0,,360,,,0.7300049066543579,,
,0.0005,361,,,,,
1,,369,,,,0.6625341176986694,
1,,379,,,,0.6250136494636536,
1,,389,,,,0.6084364056587219,
1,,399,,,,0.6567210555076599,
1,,409,,,,0.6482955813407898,
1,,419,,,,0.6110923886299133,
1,,429,,,,0.7122412323951721,
1,,439,,,,0.6697152256965637,
1,,449,,,,0.6685265898704529,
1,,459,,,,0.673687756061554,
1,,469,,,,0.6987068057060242,
1,,479,,,,0.6397390961647034,
1,,489,,,,0.6499848961830139,
1,,499,,,,0.6602143049240112,
1,,509,,,,0.6206496953964233,
1,,519,,,,0.6445115208625793,
1,,529,,,,0.6297733783721924,
1,,539,,,,0.6526158452033997,
1,,549,,,,0.6409464478492737,
1,,559,,,,0.5935621857643127,
1,,569,,,,0.6617938876152039,
1,,579,,,,0.6460638046264648,
1,,589,,,,0.6555030345916748,
1,,599,,,,0.6367278099060059,
1,,609,,,,0.6216759085655212,
1,,619,,,,0.7145863175392151,
1,,629,,,,0.6299630403518677,
1,,639,,,,0.6670487523078918,
1,,649,,,,0.6119714379310608,
1,,659,,,,0.6162227988243103,
1,,669,,,,0.6054362058639526,
1,,679,,,,0.655254065990448,
1,,689,,,,0.6043187975883484,
1,,699,,,,0.6404171586036682,
1,,709,,,,0.60072261095047,
1,,719,,,,0.5867065787315369,
1,,721,,,,,0.5705335140228271
1,,721,,,0.6366831064224243,,
,0.0005,722,,,,,
2,,729,,,,0.6470356583595276,
2,,739,,,,0.6498762369155884,
2,,749,,,,0.560029149055481,
2,,759,,,,0.6334212422370911,
2,,769,,,,0.5427917242050171,
2,,779,,,,0.6623840928077698,
2,,789,,,,0.7025289535522461,
2,,799,,,,0.6069820523262024,
2,,809,,,,0.575830340385437,
2,,819,,,,0.6352872252464294,
2,,829,,,,0.6018099784851074,
2,,839,,,,0.6273401379585266,
2,,849,,,,0.6331489086151123,
2,,859,,,,0.6292338967323303,
2,,869,,,,0.6290720701217651,
2,,879,,,,0.6356270909309387,
2,,889,,,,0.6787435412406921,
2,,899,,,,0.6183457970619202,
2,,909,,,,0.5899038314819336,
2,,919,,,,0.5802188515663147,
2,,929,,,,0.5879079103469849,
2,,939,,,,0.6060636639595032,
2,,949,,,,0.6490958333015442,
2,,959,,,,0.600304901599884,
2,,969,,,,0.6219416260719299,
2,,979,,,,0.5850799679756165,
2,,989,,,,0.6522302627563477,
2,,999,,,,0.6296743750572205,
2,,1009,,,,0.5994065403938293,
2,,1019,,,,0.5925659537315369,
2,,1029,,,,0.6377743482589722,
2,,1039,,,,0.6017163991928101,
2,,1049,,,,0.6102893948554993,
2,,1059,,,,0.6102295517921448,
2,,1069,,,,0.6130614280700684,
2,,1079,,,,0.6166643500328064,
2,,1082,,,,,0.5469719767570496
2,,1082,,,0.6148489117622375,,
,0.0005,1083,,,,,
3,,1089,,,,0.6248051524162292,
3,,1099,,,,0.593279242515564,
3,,1109,,,,0.6551902294158936,
3,,1119,,,,0.6209612488746643,
3,,1129,,,,0.577146589756012,
3,,1139,,,,0.5765168070793152,
3,,1149,,,,0.5922063589096069,
3,,1159,,,,0.6256809234619141,
3,,1169,,,,0.6218512654304504,
3,,1179,,,,0.6203238368034363,
3,,1189,,,,0.6208435297012329,
3,,1199,,,,0.5766263604164124,
3,,1209,,,,0.5586279034614563,
3,,1219,,,,0.5859735608100891,
3,,1229,,,,0.6114487051963806,
3,,1239,,,,0.6213536262512207,
3,,1249,,,,0.593099057674408,
3,,1259,,,,0.6502802968025208,
3,,1269,,,,0.5840549468994141,
3,,1279,,,,0.6100727915763855,
3,,1289,,,,0.5864217877388,
3,,1299,,,,0.6106820702552795,
3,,1309,,,,0.6216302514076233,
3,,1319,,,,0.5984828472137451,
3,,1329,,,,0.5866594910621643,
3,,1339,,,,0.5957244038581848,
3,,1349,,,,0.62212735414505,
3,,1359,,,,0.5601174235343933,
3,,1369,,,,0.631009578704834,
3,,1379,,,,0.6253641247749329,
3,,1389,,,,0.5925589203834534,
3,,1399,,,,0.5798191428184509,
3,,1409,,,,0.5947627425193787,
3,,1419,,,,0.6378960609436035,
3,,1429,,,,0.6000022888183594,
3,,1439,,,,0.5918356776237488,
3,,1443,,,,,0.5318925976753235
3,,1443,,,0.6006510257720947,,
,0.0005,1444,,,,,
4,,1449,,,,0.5716530680656433,
4,,1459,,,,0.5727848410606384,
4,,1469,,,,0.5811620950698853,
4,,1479,,,,0.5453295111656189,
4,,1489,,,,0.6183428764343262,
4,,1499,,,,0.5740756988525391,
4,,1509,,,,0.559020459651947,
4,,1519,,,,0.6280421614646912,
4,,1529,,,,0.5809229016304016,
4,,1539,,,,0.5823119878768921,
4,,1549,,,,0.6290547251701355,
4,,1559,,,,0.5583313703536987,
4,,1569,,,,0.6214763522148132,
4,,1579,,,,0.671290397644043,
4,,1589,,,,0.6335127949714661,
4,,1599,,,,0.6049073934555054,
4,,1609,,,,0.5635616183280945,
4,,1619,,,,0.5579610466957092,
4,,1629,,,,0.6553077697753906,
4,,1639,,,,0.603126585483551,
4,,1649,,,,0.6185782551765442,
4,,1659,,,,0.5497327446937561,
4,,1669,,,,0.5864199995994568,
4,,1679,,,,0.5771656036376953,
4,,1689,,,,0.5483489632606506,
4,,1699,,,,0.526670515537262,
4,,1709,,,,0.5464879274368286,
4,,1719,,,,0.6409714818000793,
4,,1729,,,,0.5585727095603943,
4,,1739,,,,0.5800064206123352,
4,,1749,,,,0.6131865978240967,
4,,1759,,,,0.593155562877655,
4,,1769,,,,0.5741923451423645,
4,,1779,,,,0.5447676777839661,
4,,1789,,,,0.622918426990509,
4,,1799,,,,0.5622836351394653,
4,,1804,,,,,0.5347718596458435
4,,1804,,,0.5914254188537598,,
,0.00025,1805,,,,,
5,,1809,,,,0.606115996837616,
5,,1819,,,,0.6213159561157227,
5,,1829,,,,0.5554867386817932,
5,,1839,,,,0.5479545593261719,
5,,1849,,,,0.5972673296928406,
5,,1859,,,,0.6057908535003662,
5,,1869,,,,0.5511090755462646,
5,,1879,,,,0.581010639667511,
5,,1889,,,,0.5359558463096619,
5,,1899,,,,0.5842351317405701,
5,,1909,,,,0.5777012705802917,
5,,1919,,,,0.5921847820281982,
5,,1929,,,,0.5768659710884094,
5,,1939,,,,0.5503377318382263,
5,,1949,,,,0.5922344923019409,
5,,1959,,,,0.5336295366287231,
5,,1969,,,,0.6014406085014343,
5,,1979,,,,0.49626338481903076,
5,,1989,,,,0.5317531824111938,
5,,1999,,,,0.5514975786209106,
5,,2009,,,,0.5829526782035828,
5,,2019,,,,0.5489718914031982,
5,,2029,,,,0.5711681246757507,
5,,2039,,,,0.5306633114814758,
5,,2049,,,,0.5974579453468323,
5,,2059,,,,0.5550350546836853,
5,,2069,,,,0.5780120491981506,
5,,2079,,,,0.5554373860359192,
5,,2089,,,,0.5670354962348938,
5,,2099,,,,0.5483817458152771,
5,,2109,,,,0.5771231055259705,
5,,2119,,,,0.578011155128479,
5,,2129,,,,0.6107760071754456,
5,,2139,,,,0.5638456344604492,
5,,2149,,,,0.5725822448730469,
5,,2159,,,,0.5734899640083313,
5,,2165,,,,,0.5405640602111816
5,,2165,,,0.5725752711296082,,
,0.00025,2166,,,,,
6,,2169,,,,0.5568738579750061,
6,,2179,,,,0.5894215703010559,
6,,2189,,,,0.5469449162483215,
6,,2199,,,,0.5728358030319214,
6,,2209,,,,0.5704627633094788,
6,,2219,,,,0.5189967751502991,
6,,2229,,,,0.5298004746437073,
6,,2239,,,,0.5464688539505005,
6,,2249,,,,0.5528890490531921,
6,,2259,,,,0.5836800336837769,
6,,2269,,,,0.5916882753372192,
6,,2279,,,,0.5508818626403809,
6,,2289,,,,0.5195197463035583,
6,,2299,,,,0.5404408574104309,
6,,2309,,,,0.5806105732917786,
6,,2319,,,,0.5950326919555664,
6,,2329,,,,0.5297372937202454,
6,,2339,,,,0.5940482020378113,
6,,2349,,,,0.529632568359375,
6,,2359,,,,0.5529605746269226,
6,,2369,,,,0.5876502990722656,
6,,2379,,,,0.5609755516052246,
6,,2389,,,,0.6003281474113464,
6,,2399,,,,0.5793163776397705,
6,,2409,,,,0.54082852602005,
6,,2419,,,,0.515489399433136,
6,,2429,,,,0.5702915191650391,
6,,2439,,,,0.613332986831665,
6,,2449,,,,0.5774489641189575,
6,,2459,,,,0.5707364678382874,
6,,2469,,,,0.5967794060707092,
6,,2479,,,,0.5832341909408569,
6,,2489,,,,0.5330852270126343,
6,,2499,,,,0.5650184154510498,
6,,2509,,,,0.5700619220733643,
6,,2519,,,,0.5585376620292664,
6,,2526,,,,,0.520160436630249
6,,2526,,,0.5668005347251892,,
,0.00025,2527,,,,,
7,,2529,,,,0.5724644064903259,
7,,2539,,,,0.5549241304397583,
7,,2549,,,,0.6083347201347351,
7,,2559,,,,0.5670095086097717,
7,,2569,,,,0.536283016204834,
7,,2579,,,,0.5852136611938477,
7,,2589,,,,0.5698691010475159,
7,,2599,,,,0.530504047870636,
7,,2609,,,,0.5949285626411438,
7,,2619,,,,0.5656575560569763,
7,,2629,,,,0.6124947667121887,
7,,2639,,,,0.5191593766212463,
7,,2649,,,,0.5807104706764221,
7,,2659,,,,0.5426868796348572,
7,,2669,,,,0.5872876644134521,
7,,2679,,,,0.5658538341522217,
7,,2689,,,,0.5811744332313538,
7,,2699,,,,0.5283324122428894,
7,,2709,,,,0.603646457195282,
7,,2719,,,,0.5107808113098145,
7,,2729,,,,0.5650594234466553,
7,,2739,,,,0.5728338360786438,
7,,2749,,,,0.5703815817832947,
7,,2759,,,,0.5816807150840759,
7,,2769,,,,0.5743667483329773,
7,,2779,,,,0.5610262751579285,
7,,2789,,,,0.5773513317108154,
7,,2799,,,,0.5773210525512695,
7,,2809,,,,0.5671870708465576,
7,,2819,,,,0.6030914783477783,
7,,2829,,,,0.5728326439857483,
7,,2839,,,,0.5462936758995056,
7,,2849,,,,0.5431345105171204,
7,,2859,,,,0.5835201740264893,
7,,2869,,,,0.5705643892288208,
7,,2879,,,,0.5520471930503845,
7,,2887,,,,,0.5111548900604248
7,,2887,,,0.5623608827590942,,
,0.00025,2888,,,,,
8,,2889,,,,0.5886629223823547,
8,,2899,,,,0.5275872349739075,
8,,2909,,,,0.5877572894096375,
8,,2919,,,,0.5142320990562439,
8,,2929,,,,0.5512576103210449,
8,,2939,,,,0.5204133987426758,
8,,2949,,,,0.5869453549385071,
8,,2959,,,,0.5099794864654541,
8,,2969,,,,0.5731874108314514,
8,,2979,,,,0.556057870388031,
8,,2989,,,,0.5769274234771729,
8,,2999,,,,0.5949249267578125,
8,,3009,,,,0.5084536671638489,
8,,3019,,,,0.5829741358757019,
8,,3029,,,,0.5658797025680542,
8,,3039,,,,0.566405177116394,
8,,3049,,,,0.5643304586410522,
8,,3059,,,,0.5758610367774963,
8,,3069,,,,0.5086439847946167,
8,,3079,,,,0.5812448263168335,
8,,3089,,,,0.5806862711906433,
8,,3099,,,,0.5812295079231262,
8,,3109,,,,0.5586581826210022,
8,,3119,,,,0.5570580959320068,
8,,3129,,,,0.5653753280639648,
8,,3139,,,,0.545755922794342,
8,,3149,,,,0.524064302444458,
8,,3159,,,,0.5751084089279175,
8,,3169,,,,0.5966004729270935,
8,,3179,,,,0.549700915813446,
8,,3189,,,,0.5763721466064453,
8,,3199,,,,0.5638798475265503,
8,,3209,,,,0.5814857482910156,
8,,3219,,,,0.5577194094657898,
8,,3229,,,,0.5294010639190674,
8,,3239,,,,0.600323498249054,
8,,3248,,,,,0.528367817401886
8,,3248,,,0.5584890246391296,,
,0.00025,3249,,,,,
9,,3249,,,,0.5380830764770508,
9,,3259,,,,0.6068325638771057,
9,,3269,,,,0.5673934817314148,
9,,3279,,,,0.5706743597984314,
9,,3289,,,,0.5932680368423462,
9,,3299,,,,0.5050390362739563,
9,,3309,,,,0.5360369682312012,
9,,3319,,,,0.5379498600959778,
9,,3329,,,,0.5312164425849915,
9,,3339,,,,0.5155103206634521,
9,,3349,,,,0.5418211221694946,
9,,3359,,,,0.5499405860900879,
9,,3369,,,,0.5530920624732971,
9,,3379,,,,0.5532402992248535,
9,,3389,,,,0.5376031398773193,
9,,3399,,,,0.5848503112792969,
9,,3409,,,,0.5370174050331116,
9,,3419,,,,0.5857316255569458,
9,,3429,,,,0.5179860591888428,
9,,3439,,,,0.5440852046012878,
9,,3449,,,,0.551430881023407,
9,,3459,,,,0.5496712327003479,
9,,3469,,,,0.5613846182823181,
9,,3479,,,,0.5626274347305298,
9,,3489,,,,0.5590592622756958,
9,,3499,,,,0.4972679316997528,
9,,3509,,,,0.565020740032196,
9,,3519,,,,0.5806129574775696,
9,,3529,,,,0.5241093039512634,
9,,3539,,,,0.5232383012771606,
9,,3549,,,,0.5947005748748779,
9,,3559,,,,0.5460286736488342,
9,,3569,,,,0.5861239433288574,
9,,3579,,,,0.5514496564865112,
9,,3589,,,,0.5364276766777039,
9,,3599,,,,0.5540919899940491,
9,,3609,,,,0.5987609624862671,
9,,3609,,,,,0.531604528427124
