global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
0,9.807079,291.213837,15.555351,374.373413
1,9.686379,288.972992,15.235713,359.797455
2,9.647809,290.798676,15.681787,372.957123
3,9.329289,279.708344,15.883233,384.319672
4,9.506427,283.348572,16.134949,394.997559
5,9.566306,277.735565,16.309374,401.616333
6,9.696614,281.974030,14.649098,344.621094
7,9.746709,283.483154,13.776172,320.227936
8,9.795527,291.775421,13.167546,301.428040
9,9.568168,284.742584,12.554740,277.539520
10,10.202502,331.297974,13.345303,302.912598
11,10.478072,356.744751,13.475390,320.004791
12,9.327691,272.525360,14.064481,316.127655
13,9.963582,296.837158,14.625514,323.388977
14,9.511067,284.937469,15.045903,336.249542
15,9.839130,304.065094,15.397294,363.144379
16,9.903815,304.940735,16.182264,407.606567
17,9.871848,302.962189,16.258886,410.524811
18,10.229379,317.588379,15.368062,379.339752
19,10.476408,329.725677,16.084673,405.509521
20,10.124415,311.226349,16.413107,428.822021
21,10.051877,313.319946,16.226133,414.207611
22,10.684223,349.279175,15.456275,380.215485
23,10.530776,341.185272,14.939957,374.714874
24,10.472389,317.866821,16.880377,446.601410
25,10.863950,339.438873,16.230032,420.162109
26,10.057453,322.913147,15.851128,399.317383
27,9.871584,309.104462,16.296576,409.649384
28,10.514902,344.527191,16.312517,413.603912
29,10.028255,323.664581,16.495512,447.929077
30,10.174168,332.692017,15.673387,422.792236
31,10.504199,351.214691,14.209033,365.687988
32,11.476913,422.330658,13.991277,350.164215
33,12.113792,462.028229,14.085710,328.133820
34,9.985026,293.751068,13.931918,309.007935
35,7.879440,198.262619,12.377949,234.478195
36,8.004006,209.305923,12.969223,267.188751
37,8.077691,205.134888,13.010983,271.424469
38,8.088237,206.591019,14.047184,313.107208
39,8.413362,217.137833,15.121907,367.832123
40,8.318408,208.656143,15.448709,374.345612
41,8.134877,215.172928,14.496964,323.420563
42,8.566941,215.949631,13.394997,273.516449
43,8.410113,217.564392,14.930844,322.533813
44,8.245013,212.212326,15.544745,354.408112
45,8.021086,200.413406,15.618907,365.290771
46,8.016354,208.837769,15.159473,340.476410
47,8.308080,227.037476,15.185718,344.940094
48,8.464601,220.290970,14.994781,347.375122
49,7.993659,198.830933,14.312087,325.139313
50,8.515082,211.237411,14.608426,322.836304
51,8.343152,220.007019,15.044888,323.298798
52,8.482524,216.627640,15.327019,320.084320
53,8.532661,222.268677,14.663751,299.785309
54,8.809600,199.593338,14.019169,290.337433
55,8.363996,190.026794,13.399310,277.552948
56,7.740667,186.821411,11.826087,234.831100
57,8.206761,182.446091,11.556236,226.847458
58,7.703563,170.856400,10.872775,198.783813
