global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
4055,8.853309,241.223999,23.246016,623.015625
4056,8.583503,223.459839,23.897949,665.476807
4057,8.418630,222.772385,22.132795,568.863586
4058,8.236054,216.069626,21.633963,540.399475
4059,8.033669,203.586655,21.918451,541.163757
4060,8.241014,214.863815,22.566870,560.227356
4061,8.071857,204.520035,23.708975,616.030457
4062,8.671445,230.442459,24.978197,698.116211
4063,8.477183,224.546143,25.884504,755.252441
4064,8.430388,218.327026,26.170462,769.187195
4065,8.199271,205.520386,25.757261,744.994385
4066,8.643561,239.577805,25.210955,715.669495
4067,7.931685,186.463196,24.384630,678.274719
4068,7.669692,183.240646,24.429764,690.757019
4069,7.663885,192.147171,25.668009,794.558411
4070,7.893144,194.519653,27.411543,936.163574
4071,8.938882,245.754349,28.956635,1064.629028
4072,8.879350,243.598572,29.763231,1134.651855
4073,8.688068,238.218933,28.840052,1014.906250
4074,8.700443,239.996750,26.847834,841.928650
4075,8.346841,224.193039,24.775061,716.181580
4076,8.147058,208.343094,23.286924,631.442627
