global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
0,9.807079,291.213837,16.348734,512.043091
1,9.686379,288.972992,15.761192,498.811859
2,9.647809,290.798676,18.014120,643.244751
3,9.329289,279.708344,18.861803,687.502869
4,9.506427,283.348572,18.439184,648.722473
5,9.566306,277.735565,17.025993,533.506836
6,9.696614,281.974030,15.177783,436.471680
7,9.746709,283.483154,12.961594,345.967133
8,9.795527,291.775421,12.786125,330.736359
9,9.568168,284.742584,12.331275,306.808228
10,10.202502,331.297974,12.836362,343.702606
11,10.478072,356.744751,13.169066,401.501068
12,9.327691,272.525360,15.880325,511.558807
13,9.963582,296.837158,17.556868,615.691101
14,9.511067,284.937469,17.194550,630.382141
15,9.839130,304.065094,17.436405,702.305481
16,9.903815,304.940735,18.715876,765.915833
17,9.871848,302.962189,18.774363,744.017395
18,10.229379,317.588379,18.346727,679.581848
19,10.476408,329.725677,19.177839,677.835510
20,10.124415,311.226349,18.349108,619.616272
21,10.051877,313.319946,18.184008,594.132568
22,10.684223,349.279175,17.338503,529.685852
23,10.530776,341.185272,16.317045,504.682953
24,10.472389,317.866821,16.956903,555.024841
25,10.863950,339.438873,16.966408,603.934631
26,10.057453,322.913147,17.804953,671.121216
27,9.871584,309.104462,18.917089,729.037537
28,10.514902,344.527191,17.468384,605.714905
29,10.028255,323.664581,15.909966,510.193939
30,10.174168,332.692017,14.393044,425.243866
31,10.504199,351.214691,12.067276,336.074738
32,11.476913,422.330658,12.361267,330.201752
33,12.113792,462.028229,12.477374,310.292419
34,9.985026,293.751068,12.615765,310.317535
35,7.879440,198.262619,13.877500,327.879181
36,8.004006,209.305923,14.814769,377.518066
37,8.077691,205.134888,14.735062,377.611176
38,8.088237,206.591019,14.407743,380.698730
39,8.413362,217.137833,15.731936,450.811066
40,8.318408,208.656143,15.623099,448.306396
41,8.134877,215.172928,15.857507,458.322845
42,8.566941,215.949631,15.115078,424.874847
43,8.410113,217.564392,15.668464,445.547485
44,8.245013,212.212326,15.619420,446.829468
45,8.021086,200.413406,16.681032,519.877747
46,8.016354,208.837769,17.040228,514.933777
47,8.308080,227.037476,16.631483,500.900543
48,8.464601,220.290970,15.463891,440.408051
49,7.993659,198.830933,13.419553,359.952393
50,8.515082,211.237411,14.437648,392.022705
51,8.343152,220.007019,14.981613,414.256012
52,8.482524,216.627640,13.651970,346.769623
53,8.532661,222.268677,13.109128,344.611725
54,8.809600,199.593338,12.033793,308.314819
55,8.363996,190.026794,11.193314,284.278473
56,7.740667,186.821411,10.080544,238.964600
57,8.206761,182.446091,9.565183,208.759354
58,7.703563,170.856400,9.829407,191.627213
59,7.869781,185.158371,10.706913,223.075989
60,8.686666,218.863724,12.432851,314.668274
61,8.397587,209.454910,15.257607,454.865692
62,7.952943,206.068665,15.636069,451.158600
63,7.761240,192.995605,15.195212,435.108490
64,8.145419,201.672348,14.535939,413.776123
65,8.141649,201.716751,14.698895,417.980957
66,8.003510,195.573975,14.504531,394.565033
67,7.884371,196.829178,14.917438,404.589203
68,8.246710,194.285721,15.292340,431.093475
69,8.111565,189.020218,14.899091,409.730011
70,8.008010,189.308273,14.020175,367.806244
71,8.270103,211.491776,13.508809,337.911224
72,8.178533,206.433548,12.926614,326.868561
73,8.065163,197.446228,11.274997,274.947418
74,8.378881,195.363693,12.939410,342.373322
75,8.355984,202.236374,14.671903,412.314728
76,8.451157,202.561356,14.427230,396.324066
77,8.583537,199.395340,13.353001,336.792114
78,8.302640,199.688553,12.995193,326.985382
79,8.403058,200.334717,11.177483,264.363800
80,8.365011,207.796875,10.257152,231.844681
81,8.763581,224.162521,10.142105,221.531052
82,9.345836,252.691269,10.591310,240.679855
83,9.724612,291.379669,11.120899,280.517273
84,8.583412,230.949966,12.083462,308.323364
85,8.889682,242.353806,14.515984,420.815430
86,9.227132,265.137115,14.481537,433.255859
87,8.959403,248.268967,12.977540,396.451172
88,9.269748,256.490143,13.878105,425.924683
89,9.519891,256.265289,14.458133,440.244537
90,9.257267,251.691208,14.902387,443.118774
91,9.327732,257.679169,16.123220,478.834473
92,9.625339,246.603027,16.427404,487.206207
93,9.377158,250.481857,15.798225,470.308105
94,9.337455,253.844116,15.501305,453.333527
95,9.187300,252.869919,15.986680,473.808990
96,9.471958,267.702179,16.281214,478.363037
97,9.988514,277.069183,14.033113,397.821045
98,9.641605,253.003540,14.737671,440.486176
99,9.152759,258.222992,15.456787,465.308258
100,9.297597,253.407791,14.868052,431.029144
101,9.070234,248.530838,14.454030,399.464447
102,9.278224,252.612900,14.174495,398.558258
103,9.317776,249.083054,12.201779,342.398926
104,10.069036,274.333832,12.076297,321.528320
105,10.770757,321.514008,11.813067,311.278931
106,10.623606,318.374756,11.529243,296.131317
107,10.175392,301.491272,13.361701,366.373505
108,10.323411,309.733521,14.368946,424.455078
109,10.775691,337.096039,16.932842,537.069824
110,10.372105,304.872528,16.086679,513.423096
111,9.539762,268.088104,14.584085,484.025177
112,9.274022,261.192200,15.356194,520.254150
113,9.478438,265.972504,15.104736,484.753296
114,9.542997,275.244904,16.199064,509.115234
115,9.871194,273.407867,17.578682,551.756897
116,9.602331,274.227997,17.487318,539.251587
117,9.777176,281.376282,16.987940,533.471008
118,9.518108,275.041779,16.259308,507.452545
119,9.489958,269.205902,16.363943,480.626007
120,9.574863,264.958252,16.308140,470.581879
121,9.709517,275.152039,15.118093,424.148529
122,10.146319,281.395020,15.314847,445.910797
123,9.963977,281.658844,15.615508,467.941071
124,9.763977,278.994659,15.575088,475.445770
125,10.204339,290.670685,15.028424,425.490082
126,9.773449,277.184235,13.820686,371.488647
127,9.030086,258.274017,11.861493,326.853058
128,9.426194,266.669830,11.397861,305.109894
129,8.918892,251.295700,11.357796,311.268188
130,9.088916,268.467194,12.186989,342.127533
131,9.763628,305.441589,12.669168,368.080780
132,10.278197,333.201630,12.705592,407.113983
133,10.841148,363.148041,13.436910,448.845612
134,11.383546,391.917480,14.448236,508.326019
135,11.342183,388.530975,14.735649,540.386658
136,11.740546,396.707001,16.256218,635.862854
137,11.736603,393.237579,16.687250,631.998779
138,11.807828,387.075592,16.935266,622.205261
139,12.103257,398.720856,17.352839,588.179688
140,11.515037,390.428436,17.082367,562.800842
141,11.605693,389.656097,16.965422,564.717590
142,11.840340,393.867188,17.655375,587.407532
143,12.072103,396.335205,16.826145,538.499817
144,11.895101,393.029694,16.983770,558.632324
145,11.785466,397.983856,16.057203,538.760071
146,12.119630,406.358551,18.044096,646.647034
147,11.881183,405.091217,19.232862,737.821472
148,11.596408,392.548187,18.564276,678.738037
149,12.184747,403.630707,16.785545,558.330383
150,11.782722,387.946930,16.262800,516.723816
151,11.860626,383.707428,14.486309,448.237152
152,11.497520,368.180878,13.434558,416.875153
153,11.376676,387.493011,13.222343,410.384552
154,11.166695,378.777466,13.660320,402.971832
155,11.764030,413.677002,14.530269,426.168304
156,11.691669,412.286865,16.267853,478.550873
157,11.842540,409.567902,17.291069,517.315857
158,11.418841,396.174835,16.285292,511.724945
159,11.365195,389.062408,14.944089,480.885406
160,11.666881,406.430084,14.927643,502.509399
161,12.455922,424.057373,16.477303,576.530273
162,11.824319,417.576324,17.106184,584.097168
163,12.480526,429.148560,18.468277,621.695374
164,12.348511,446.120972,18.025919,581.641785
165,12.970783,455.247070,18.236036,602.498779
166,12.401955,426.835114,18.755331,590.841797
167,12.651436,431.118561,18.864202,600.468445
168,12.657653,442.783813,19.053040,617.163147
169,11.916840,433.709259,15.925212,496.079071
170,12.631218,446.308350,16.775839,529.915833
171,11.498811,405.281738,17.332182,578.953308
172,11.704903,418.246460,15.776465,507.586517
173,11.760119,440.917236,15.638057,480.915161
174,12.282407,443.717651,14.076492,437.124512
175,12.606959,432.988770,12.951009,412.100464
176,11.873970,409.053986,12.219096,392.850311
177,12.295880,421.753387,12.079463,392.841675
178,12.018615,458.410492,12.167064,381.449432
179,12.978086,551.441711,12.248128,408.705780
180,12.985942,553.023743,14.004203,490.042267
181,11.786767,454.021210,14.888386,453.654572
182,11.385727,448.402100,14.114642,411.749634
183,12.099926,484.254761,14.022798,401.381866
