,pv_kwh,ghi_wm2,temp_c,rh_pct,lag_pv_kwh_24h,hour_sin
Spline,0.060464673,0.026597861,0.022793993,0.020656172,0.032740977,0.050153792
Wav,0.043325573,0.0145049915,0.010799917,0.008211945,0.019374158,0.034072813
Taylor,0.6255685,0.6255035,0.48088533,0.39790738,0.61154664,0.6407707
Jacobi,0.27064136,0.33339372,0.4855207,0.5732244,0.33633843,0.27500352
