,pv_kwh,ghi_wm2,temp_c,rh_pct,lag_pv_kwh_24h,hour_sin
Spline,0.094040565,0.041872855,0.03066874,0.021072613,0.048746627,0.07459625
Wav,0.07382684,0.030632187,0.025688842,0.020572923,0.03744632,0.052878104
Taylor,0.38585663,0.4633967,0.47738492,0.49748534,0.44891798,0.4035162
Jacobi,0.44627598,0.46409824,0.46625742,0.4608691,0.4648891,0.4690096
